phase,road,from_intersection,to_intersection,closed_time,open_time,notes,geocode_address
Advance (Fri-Sat),Victory Ave,S 1st St,Titans Way,Fri 8:00 AM,Sat 6:00 PM,,"Victory Ave & S 1st St, Nashville, TN"
Advance (Fri-Sat),Titans Way,Victory Ave,Russell St,Fri 8:00 AM,Sat 6:00 PM,Event/Nissan Traffic Only,"Titans Way & Victory Ave, Nashville, TN"
Advance (Fri-Sat),Russell St,Titans Way,S 1st St,Fri 8:00 AM,Sat 6:00 PM,Event/Nissan Traffic Only,"Russell St & Titans Way, Nashville, TN"
Advance (Fri-Sat),S 1st St,Woodland St,Russell St,Fri 8:00 AM,Sat 6:00 PM,Event/Nissan Traffic Only,"S 1st St & Woodland St, Nashville, TN"
Race Day Early (3:00-5:00 AM),Broadway,3rd Ave S,13th Ave N,3:00 AM,11:00 AM,Two-way in single access lane on south curb from I-40 ramp to 10th,"Broadway & 3rd Ave S, Nashville, TN"
Race Day Early (3:00-5:00 AM),7th Ave N,Broadway,Commerce St,3:00 AM,9:00 AM,,"7th Ave N & Broadway, Nashville, TN"
Race Day Early (3:00-5:00 AM),Rosa Parks Blvd,Broadway,Commerce St,3:00 AM,9:00 AM,,"Rosa Parks Blvd & Broadway, Nashville, TN"
Race Day Early (3:00-5:00 AM),9th Ave N,Broadway,Commerce St,3:00 AM,9:00 AM,,"9th Ave N & Broadway, Nashville, TN"
Race Day Early (3:00-5:00 AM),10th Ave N,Broadway,Commerce St,3:00 AM,9:00 AM,,"10th Ave N & Broadway, Nashville, TN"
Race Day Early (3:00-5:00 AM),Demonbreun St,3rd Ave S,8th Ave S,3:00 AM,10:30 AM,,"Demonbreun St & 3rd Ave S, Nashville, TN"
Race Day Early (3:00-5:00 AM),Music Row Roundabout,Whole Roundabout,Whole Roundabout,3:00 AM,9:30 AM,,"Music Row Roundabout, Nashville, TN"
Race Day Mid (5:00-5:30 AM),2nd Ave S,Demonbreun St,Broadway,5:00 AM,10:30 AM,,"2nd Ave S & Broadway, Nashville, TN"
Race Day Mid (5:00-5:30 AM),3rd Ave S,Demonbreun St,Broadway,5:00 AM,10:30 AM,,"3rd Ave S & Broadway, Nashville, TN"
Race Day Mid (5:00-5:30 AM),4th Ave S,Demonbreun St,Broadway,5:00 AM,10:30 AM,,"4th Ave S & Broadway, Nashville, TN"
Race Day Mid (5:00-5:30 AM),5th Ave S,Demonbreun St,Broadway,5:00 AM,10:30 AM,,"5th Ave S & Broadway, Nashville, TN"
Race Day Mid (5:00-5:30 AM),6th Ave S,Demonbreun St,Broadway,5:00 AM,10:30 AM,,"6th Ave S & Broadway, Nashville, TN"
Race Day Mid (5:00-5:30 AM),7th Ave S,Demonbreun St,Broadway,5:00 AM,10:30 AM,,"7th Ave S & Broadway, Nashville, TN"
Race Day Mid (5:00-5:30 AM),8th Ave S,Demonbreun St,Broadway,5:00 AM,10:30 AM,,"8th Ave S & Broadway, Nashville, TN"
Race Day Mid (5:00-5:30 AM),12th Ave S,Demonbreun St,Broadway,5:30 AM,10:30 AM,,"12th Ave S & Broadway, Nashville, TN"
Race Day Mid (5:00-5:30 AM),McGavock St,12th Ave S,13th Ave S,5:30 AM,11:00 AM,,"McGavock St & 12th Ave S, Nashville, TN"
Race Day Mid (5:00-5:30 AM),Demonbreun St,8th Ave S,Music Row Roundabout,5:30 AM,9:30 AM,,"Demonbreun St & 8th Ave S, Nashville, TN"
Race Day Main (5:45 AM+),17th Ave S,Music Row Roundabout,Magnolia Blvd,5:45 AM,9:30 AM,,"17th Ave S & Music Row Roundabout, Nashville, TN"
Race Day Main (5:45 AM+),Magnolia Blvd,17th Ave S,16th Ave S,5:45 AM,9:30 AM,,"Magnolia Blvd & 17th Ave S, Nashville, TN"
Race Day Main (5:45 AM+),16th Ave S,Magnolia Blvd,Portland Ave,5:45 AM,9:30 AM,,"16th Ave S & Magnolia Blvd, Nashville, TN"
Race Day Main (5:45 AM+),Belmont Blvd,Portland Ave,Clifton Lane,5:45 AM,9:30 AM,,"Belmont Blvd & Portland Ave, Nashville, TN"
Race Day Main (5:45 AM+),Clifton Lane,Belmont Blvd,Lealand Lane,5:45 AM,9:45 AM,,"Clifton Lane & Belmont Blvd, Nashville, TN"
Race Day Main (5:45 AM+),Lealand Lane,Clifton Lane,Clayton Ave,5:45 AM,9:45 AM,,"Lealand Lane & Clifton Lane, Nashville, TN"
Race Day Main (5:45 AM+),Clayton Ave,Lealand Lane,12th Ave S,5:45 AM,9:45 AM,,"Clayton Ave & Lealand Lane, Nashville, TN"
Race Day Main (5:45 AM+),12th Ave S,Clayton Ave,Wedgewood Ave,5:45 AM,10:00 AM,,"12th Ave S & Clayton Ave, Nashville, TN"
Race Day Main (5:45 AM+),Wedgewood Ave,12th Ave S,16th Ave S,5:45 AM,10:00 AM,,"Wedgewood Ave & 12th Ave S, Nashville, TN"
Race Day Main (5:45 AM+),16th Ave S,Wedgewood Ave,Division St,5:45 AM,10:15 AM,,"16th Ave S & Wedgewood Ave, Nashville, TN"
Race Day Main (5:45 AM+),Division St,16th Ave S,11th Ave S,5:45 AM,10:15 AM,,"Division St & 16th Ave S, Nashville, TN"
Race Day Main (5:45 AM+),11th Ave S,Division St,12th Ave S,5:45 AM,10:15 AM,,"11th Ave S & Division St, Nashville, TN"
Race Day Main (5:45 AM+),12th Ave N,Broadway,Nelson Merry St,5:45 AM,10:30 AM,,"12th Ave N & Broadway, Nashville, TN"
Race Day Main (5:45 AM+),Nelson Merry St,12th Ave N,11th Ave N,5:45 AM,10:30 AM,,"Nelson Merry St & 12th Ave N, Nashville, TN"
Race Day Main (5:45 AM+),11th Ave N,Nelson Merry St,Smith Way,5:45 AM,10:30 AM,,"11th Ave N & Nelson Merry St, Nashville, TN"
Race Day Main (5:45 AM+),Smith Way,11th Ave N,Rosa Parks Blvd,5:45 AM,10:30 AM,,"Smith Way & 11th Ave N, Nashville, TN"
Race Day Main (5:45 AM+),Rosa Parks Blvd,Smith Way,Monroe St,5:45 AM,10:45 AM,,"Rosa Parks Blvd & Smith Way, Nashville, TN"
Race Day Main (5:45 AM+),Monroe St,Rosa Parks Blvd,7th Ave N,5:45 AM,10:45 AM,,"Monroe St & Rosa Parks Blvd, Nashville, TN"
Race Day Main (5:45 AM+),7th Ave N,Monroe St,Garfield St,5:45 AM,10:45 AM,,"7th Ave N & Monroe St, Nashville, TN"
Race Day Main (5:45 AM+),Garfield St,7th Ave N,Rosa Parks Blvd,5:45 AM,10:45 AM,,"Garfield St & 7th Ave N, Nashville, TN"
Race Day Main (5:45 AM+),Rosa Parks Blvd,Garfield St,Vantage Way,5:45 AM,11:00 AM,,"Rosa Parks Blvd & Garfield St, Nashville, TN"
Race Day Main (5:45 AM+),Vantage Way,Rosa Parks Blvd,Great Circle Rd,5:45 AM,11:00 AM,,"Vantage Way & Rosa Parks Blvd, Nashville, TN"
Race Day Main (5:45 AM+),Great Circle Rd,Vantage Way,Cumberland River Greenway,5:45 AM,11:15 AM,,"Great Circle Rd & Vantage Way, Nashville, TN"
Race Day Main (5:45 AM+),Cumberland River Greenway,Great Circle Rd,Madison St,5:45 AM,11:15 AM,,"Great Circle Rd & Cumberland River Greenway, Nashville, TN"
Race Day Main (5:45 AM+),Madison St,Cumberland River Greenway,2nd Ave N,5:45 AM,11:30 AM,,"Madison St & 2nd Ave N, Nashville, TN"
Race Day Main (5:45 AM+),2nd Ave N,Madison St,Taylor St,5:45 AM,11:30 AM,,"2nd Ave N & Madison St, Nashville, TN"
Race Day Main (5:45 AM+),Taylor St,2nd Ave N,1st Ave N,5:45 AM,11:30 AM,,"Taylor St & 2nd Ave N, Nashville, TN"
Race Day Main (5:45 AM+),1st Ave N,Taylor St,Jefferson St,5:45 AM,11:30 AM,,"1st Ave N & Taylor St, Nashville, TN"
Race Day Main (5:45 AM+),Jefferson St,1st Ave N,Rosa Parks Blvd,5:45 AM,11:45 AM,,"Jefferson St & 1st Ave N, Nashville, TN"
Race Day Main (5:45 AM+),Rosa Parks Blvd,Jefferson St,John Lewis Way,5:45 AM,11:45 AM,,"Rosa Parks Blvd & Jefferson St, Nashville, TN"
Race Day Main (5:45 AM+),John Lewis Way,Rosa Parks Blvd,James Robertson Pkwy,5:45 AM,11:45 AM,,"John Lewis Way & Rosa Parks Blvd, Nashville, TN"
Race Day Main (5:45 AM+),James Robertson Pkwy,John Lewis Way,Gay St,5:45 AM,12:00 PM,,"James Robertson Pkwy & John Lewis Way, Nashville, TN"
Race Day Main (5:45 AM+),Gay St,James Robertson Pkwy,1st Ave N,5:45 AM,12:00 PM,,"Gay St & James Robertson Pkwy, Nashville, TN"
Race Day Main (5:45 AM+),1st Ave N,Gay St,Union St,5:45 AM,12:00 PM,,"1st Ave N & Gay St, Nashville, TN"
Race Day Main (5:45 AM+),Union St,1st Ave N,Woodland St,5:45 AM,12:15 PM,,"Union St & 1st Ave N, Nashville, TN"
Race Day Main (5:45 AM+),Woodland St,Union St,S 5th St,5:45 AM,12:15 PM,,"Woodland St & Union St, Nashville, TN"
Race Day Main (5:45 AM+),S 5th St,Woodland St,Davidson St,5:45 AM,2:30 PM,Two way in single lane on west curb; Northbound access lane from Crutcher to Shelby Ave,"S 5th St & Woodland St, Nashville, TN"
Race Day Main (5:45 AM+),Davidson St,S 5th St,Shelby Park,5:45 AM,1:45 PM,,"Davidson St & S 5th St, Nashville, TN"
Race Day Main (5:45 AM+),Shelby Park & Bottoms,All Park Roads,All Park Roads,5:45 AM,1:45 PM,,"S 20th St & Davidson St, Nashville, TN"
Race Day Main (5:45 AM+),Victory Ave,Titans Way,S 2nd St,6:00 AM,6:00 PM,,"Victory Ave & Titans Way, Nashville, TN"
Freeway Ramps,I-40 Eastbound,Broadway ramp,,5:45 AM,11:00 AM,Ramp closure,"14th Ave N & Broadway, Nashville, TN"
Freeway Ramps,I-40 Eastbound,Demonbreun St ramp,,5:45 AM,9:30 AM,Ramp closure,"14th Ave S & Demonbreun St, Nashville, TN"
Freeway Ramps,I-40 Westbound,Demonbreun St ramp,,5:45 AM,9:30 AM,Ramp closure,"12th Ave S & Demonbreun St, Nashville, TN"
